TenantId,Selector,Property,CleanProperty,Value,CssUrl,IsS500
47eaa5df-c2ed-4af0-80eb-fda4cd6ed64c,.ext-button-item,margin-left,margin-left,,,No
396a5f5f-4bee-4dd0-aea6-809ef5dc4ac7,.ext-footer-content.ext-footer-item,margin-left,margin-left,,,No
396a5f5f-4bee-4dd0-aea6-809ef5dc4ac7,.ext-footer-content.ext-footer-item,margin-right,margin-right,,,No
eddefb6c-0150-49d6-9239-6a79cde6cac3,.ext-sign-in-box,margin-left,margin-left,,,No
eddefb6c-0150-49d6-9239-6a79cde6cac3,.ext-promoted-fed-cred-box,margin-left,margin-left,,,No
eddefb6c-0150-49d6-9239-6a79cde6cac3,.ext-promoted-fed-cred-box,margin-top,margin-top,,,No
2f59b096-90b4-4537-8a44-2922502b40f7,.ext-text-box::placeholder,opacity,opacity,,,No
2f59b096-90b4-4537-8a44-2922502b40f7,.ext-label,margin-bottom,margin-bottom,,,No
2f59b096-90b4-4537-8a44-2922502b40f7,.ext-error-message,margin-top,margin-top,,,No
2f59b096-90b4-4537-8a44-2922502b40f7,.ext-header,margin-bottom,margin-bottom,,,No
2f59b096-90b4-4537-8a44-2922502b40f7,.ext-footer,margin-top,margin-top,,,No
cba0d0bd-27ee-4530-8654-65b8381e174c,.ext-banner-logo,margin-left,margin-left,,,No
cba0d0bd-27ee-4530-8654-65b8381e174c,.ext-banner-logo,margin-right,margin-right,,,No
e3c16110-342a-4635-9f44-942057bba93d,.ext-banner-logo,margin-left,margin-left,,,No
e3c16110-342a-4635-9f44-942057bba93d,.ext-banner-logo,margin-right,margin-right,,,No
f8ab8ee4-051e-4ba8-b0fc-352568a52c6b,.ext-button.ext-secondary,margin-right,margin-right,,,No
0f7c1253-284e-48be-807b-e9053658dfab,.ext-banner-logo,margin-left,margin-left,,,No
0f7c1253-284e-48be-807b-e9053658dfab,.ext-banner-logo,margin-right,margin-right,,,No
0f7c1253-284e-48be-807b-e9053658dfab,.ext-banner-logo,margin-bottom,margin-bottom,,,No
2bde6fb0-1d32-4ab0-a190-84c00c951f09,.ext-sign-in-box,opacity,opacity,,,No
cf1f09f4-cd3d-44a3-aec2-a1bbfbf1672d,#lightboxTemplateContainer > div.outer > div.template-section.main-section > div > div > div > div > div:nth-child(2) > div > div > div > div > div > div.table-cell.tile-img.medium,position,position,,,No
285eb44a-b85f-4264-a40f-a22ade6d638b,.ext-footer-content.ext-footer-item,margin-top,margin-top,,,No
285eb44a-b85f-4264-a40f-a22ade6d638b,.ext-footer-content.ext-footer-item,margin-right,margin-right,,,No
285eb44a-b85f-4264-a40f-a22ade6d638b,.ext-footer-content.ext-footer-item,margin-left,margin-left,,,No
285eb44a-b85f-4264-a40f-a22ade6d638b,.ext-footer-content.ext-footer-item,margin-bottom,margin-bottom,,,No
285eb44a-b85f-4264-a40f-a22ade6d638b,.ext-footer-content.ext-footer-item,margin-top,margin-top,,,No
285eb44a-b85f-4264-a40f-a22ade6d638b,.ext-footer-content.ext-footer-item,margin-right,margin-right,,,No
285eb44a-b85f-4264-a40f-a22ade6d638b,.ext-footer-content.ext-footer-item,margin-left,margin-left,,,No
285eb44a-b85f-4264-a40f-a22ade6d638b,.ext-footer-content.ext-footer-item,margin-bottom,margin-bottom,,,No
285eb44a-b85f-4264-a40f-a22ade6d638b,.ext-footer-content.ext-footer-item,margin-top,margin-top,,,No
285eb44a-b85f-4264-a40f-a22ade6d638b,.ext-footer-content.ext-footer-item,margin-right,margin-right,,,No
